bus_name,bus_rating,loc_latitude,loc_longitude
El Valle Mexican Restaurant,3.5,35.1173697999999987,-80.7255339999999961
The Sandwich Club,4,35.2310911000000004,-80.8381684999999948
Sub Station II,3.5,35.1357193999999993,-80.8787439000000035
Waffle House,3.5,35.3677695000000014,-80.6663599000000033
Starbucks,4.5,35.4824965000000034,-80.8785306000000048
Jin Jin,4,35.535299000000002,-80.7995197999999988
Eddie's Place,3.5,35.0681295999999989,-80.8417919999999981
Which Wich,4,35.4448811000000035,-80.8769960000000054
Toyama Express,3.5,35.3380319999999983,-80.757432399999999
CO,3.5,35.0510189999999966,-80.767035000000007
Jersey Mike's Subs,3.5,35.0476334000000023,-80.6489494000000064
Hubee D's,3.5,35.1028674000000009,-80.9848618999999985
Five Guys,4,35.0830199999999977,-80.728738000000007
Reid's Fine Food,4,35.1745343999999989,-80.8482079999999996
The Common Market,4.5,35.2157049999999998,-80.8566670000000016
Living Kitchen,4.5,35.2090265770999977,-80.8611555104999979
Taco Bell,3.5,35.4836069999999992,-80.8774650000000008
The Melting Pot,4.5,35.2070881,-80.8351947000000024
MOD Pizza,4.5,35.0479307676000005,-80.647176978600001
Just Fresh,3.5,35.2254700000000014,-80.848544000000004
The Roasting Company,3.5,35.2201080999999974,-80.8156756000000058
Firehouse Subs,3.5,35.3692729999999997,-80.7232900000000058
Starbucks,4,35.2057679999999991,-80.8387210000000067
Jet's Pizza,4,35.1199305100999979,-80.7199162244999968
CAVA,4,35.1737460000000013,-80.8500410000000045
Sunrise Restaurant,4,35.2025026000000025,-80.7357765000000001
Waffle House,4.5,35.3157235999999983,-81.1934143000000006
Sunflour Baking Company,4,35.0559627617000018,-80.8539988473000051
Persis Biryani Indian Grill,3.5,35.0561027526999993,-80.8541183472
Chex Grill & Wings,4.5,35.3350160000000031,-80.8129933999999963
Tacos El Nevado,4,35.1773859999999985,-80.8761680000000069
Chick-fil-A,3.5,35.310372000000001,-80.7522139999999951
Reid's Fine Food,4,35.2275289000000029,-80.8437839999999994
The Roasting Company,4,35.1708167999999972,-80.8498426000000023
Subway Restaurants,3.5,35.4193349999999967,-80.7431260000000037
Caribou Coffee,4,35.1412594999999968,-80.7340980999999971
Queen City Q,3.5,35.0828507000000016,-80.7328322000000043
El Vallarta,3.5,34.9336747999999986,-80.7501088000000067
Chick-fil-A,3.5,35.3113542999999979,-80.7725499000000013
Papa Murphy's,4,35.0836139999999972,-80.7331199999999995
Sake Express,3.5,35.254232100000003,-81.0277774999999991
Cinnaholic,4.5,35.0508275628999968,-80.646177940100003
Firehouse Subs,3.5,35.1758540514000018,-80.8777684296999979
Showmars,3.5,35.2368511000000026,-80.8826155
Tijuana Flats,4,35.3090905000000035,-80.7477274999999963
Jersey Mike's Subs,3.5,35.0610470000000021,-80.8176469999999938
Cluck 'N Cup,4,35.2066099999999977,-80.8601359999999971
Caribou Coffee,3.5,35.2253940000000014,-80.8439500000000066
Chicken Salad Chick,3.5,35.3270849999999967,-80.9422581000000037
Subway Restaurants,3.5,35.2656631999999988,-80.8820967999999993
Bella Fresco,3.5,35.0952380000000019,-80.7790820000000025
Culver's,4,35.2905330000000035,-80.7647319999999951
2 Gals Kitchen,4.5,35.4089100659000025,-80.5795615911000027
Chick-fil-A,3.5,35.1771701999999991,-80.7990350000000035
Chicken King,3.5,35.2984615000000019,-81.0174482999999981
La Unica,3.5,35.4296318000000028,-80.6078171000000054
Caribbean Hut,4,35.2617473963000023,-81.1247755586999943
Starbucks,3.5,35.2013768999999996,-80.8433794000000034
Crafty Burg'r,4,35.4474418913999969,-80.891303680799993
Carolina Beer Temple,4.5,35.1167889999999971,-80.7193170000000038
Bruegger's Bagels,3.5,35.2253171999999992,-80.8424883999999935
Starbucks,4.5,35.1814630000000008,-80.9156760000000048
Pure Pizza,4,35.2201453759000032,-80.8072895722000055
Starbucks,3.5,35.2248749999999973,-80.8485479999999939
Firehouse Subs,3.5,35.3488552999999968,-80.8553792999999956
Toyama Express,4,35.1176111878000015,-80.7193909450000007
Starbucks,4,35.3715680000000035,-80.7849180000000047
Zoes Kitchen,3.5,35.4456425999999993,-80.877973499999996
Las Meras Tortas,4.5,35.4159548000000015,-80.8572889000000004
China Buffet,3.5,35.3061730000000011,-80.752672000000004
QDOBA Mexican Eats,3.5,35.2636773998999971,-81.135012880000005
Papa Murphy's,4,35.0303096999999966,-80.8535521000000017
Firehouse Subs,3.5,35.3402525999999995,-80.7649578999999989
Dairy Queen,3.5,35.2244478000000001,-80.8871809999999982
Jason's Deli,4,35.1718729999999979,-80.849031999999994
Viva Chicken,4.5,35.2134205994000027,-80.826022401000003
Bad Daddy's Burger Bar,4,35.1989724000000024,-80.8408711000000011
Tryon House Restaurant,3.5,35.2587388000000033,-80.7776836000000031
Bisonte Pizza,4,35.2326000525999987,-80.8490900694999937
Arby's,3.5,35.2451865999999967,-80.9364336000000009
Starbucks,4,35.1619944688000032,-80.9708210062999996
KFC,3.5,35.4002690000000015,-80.6090360000000032
Living Kitchen,4,35.1505395000000007,-80.8286961000000019
Chicken King,5,35.2560081999999966,-80.8745535999999987
Plato Pronto,4.5,35.281235995400003,-80.8987266942999952
Potbelly Sandwich Shop,3.5,35.0604089999999999,-80.8381580000000071
Five Guys,4.5,35.3101270000000014,-80.7467160000000064
